STT,Dạng,Nguồn,STT câu gốc,Loại số,Đề bài,Đáp án đúng,Lời giải,Nhận xét,Ghi chú kiểm tra
39,Dạng 4 - Tìm số phức thỏa mãn điều kiện cho trước,Câu gốc,39,,"Có bao nhiêu số phức $z$ thỏa mãn $|z-3i|=5$ và $\dfrac{z}{z-4}$ là số thuần ảo?

A. $0$.
B. Vô số.
C. $1$.
D. $2$.",C. $1$.,"$\begin{cases} |z-3i|=5 \\ \dfrac{z}{z-4} \text{ là số thuần ảo} \end{cases} \Leftrightarrow \begin{cases} \sqrt{a^2+(b-3)^2}=5 \\ \dfrac{(a+bi)(a-4-bi)}{(a-4+bi)(a-4-bi)} \text{ là số thuần ảo} \end{cases}$

$\Leftrightarrow \begin{cases} a^2+b^2-6b=16 \\ a^2+b^2-4a=0 \\ a\ne4, b\ne0 \end{cases} \Leftrightarrow \begin{cases} 4a-6b=16 \\ a^2+b^2-4a=0 \\ a\ne4, b\ne0 \end{cases} \Leftrightarrow \begin{cases} b=\dfrac{2a-8}{3} \\ a^2+\left(\dfrac{2a-8}{3}\right)^2-4a=0 \\ a\ne4, b\ne0 \end{cases}$

$\Leftrightarrow \begin{cases} b=\dfrac{2a-8}{3} \\ 13a^2-68a+64=0 \\ a\ne4, b\ne0 \end{cases} \Leftrightarrow \begin{cases} a=\dfrac{16}{13} \\ b=-\dfrac{24}{13} \end{cases}$

Vậy có một số phức thỏa yêu cầu bài toán.",Đạt,
40,"Dạng 1 - Xác định phần thực, phần ảo, liên hợp, môđun",Câu gốc,40,,"Số phức có phần thực bằng $3$ và phần ảo bằng $4$ là

A. $3+4i$.
B. $4-3i$.
C. $3-4i$.
D. $4+3i$.",A. $3+4i$.,Số phức có phần thực bằng $3$ và phần ảo bằng $4$ là $z = 3+4i$.,Đạt,
41,Dạng 5 - Tập hợp điểm biểu diễn (quỹ tích),Câu gốc,41,,"Xét các số phức $z$ thỏa mãn $(\bar{z}+3i)(z-3)$ là số thuần ảo. Trên mặt phẳng tọa độ, tập hợp tất cả các điểm biểu diễn các số phức $z$ là một đường tròn có bán kính bằng

A. $\dfrac{9}{2}$.
B. $3\sqrt{2}$.
C. $3$.
D. $\dfrac{3\sqrt{2}}{2}$.",D. $\dfrac{3\sqrt{2}}{2}$.,"Giả sử $z=x+yi \Rightarrow \bar{z}=x-yi$ trong đó $x,y\in\mathbb{R}$.

Ta có $(\bar{z}+3i)(z-3) = x^2+y^2-3x-3y+(3x+3y-9)i$.

Số phức $(\bar{z}+3i)(z-3)$ là số thuần ảo khi chỉ khi $x^2+y^2-3x-3y=0 \Leftrightarrow \left(x-\dfrac{3}{2}\right)^2+\left(y-\dfrac{3}{2}\right)^2=\dfrac{9}{2}$.

Vậy tập hợp tất cả các điểm biểu diễn số phức $z$ thỏa mãn yêu cầu bài toán là đường tròn có bán kính bằng $\dfrac{3\sqrt{2}}{2}$.",Đạt,
42,Dạng 4 - Tìm số phức thỏa mãn điều kiện cho trước,Câu gốc,42,,"Có bao nhiêu số phức $z$ thỏa mãn $|z|(z-3-i)+2i=(4-i)z$?

A. $1$.
B. $3$.
C. $2$.
D. $4$.",B. $3$.,"Ta có $|z|(z-3-i)+2i=(4-i)z \Leftrightarrow z(4-|z|-i)=-3|z|+(2-|z|)i$.

Đặt $t=|z|$, điều kiện $t\ge0, t\in\mathbb{R}$. Lấy mô-đun hai vế ta được

$t|4-t-i| = |-3t+(2-t)i|$

$\Leftrightarrow t\sqrt{(4-t)^2+1} = \sqrt{9t^2+(2-t)^2}$

$\Leftrightarrow t^4-8t^3+6t^2+4t-3=0$

$\Leftrightarrow (t-1)(t^3-7t^2-t+3)=0$

$\Leftrightarrow \left[\begin{array}{l} t=1 \\ t\approx7,081 \\ t\approx0,61146 \\ t\approx-0,6928. \end{array}\right.$

Do đó, có 3 giá trị $t$ thỏa mãn.

Mặt khác, với mỗi $t\ge0$, ta có $z=\dfrac{-3t+(2-t)i}{4-t-i}$ nên có duy nhất một số phức $z$ thỏa mãn.

Vậy có 3 số phức thỏa mãn yêu cầu bài toán.",Đạt,
43,"Dạng 1 - Xác định phần thực, phần ảo, liên hợp, môđun",Câu gốc,43,,"Số phức liên hợp của số phức $5-3i$ là

A. $-5+3i$.
B. $-3+5i$.
C. $-5-3i$.
D. $5+3i$.",D. $5+3i$.,Số phức liên hợp của số phức $5-3i$ là $5+3i$.,Đạt,
44,Dạng 2 - Biểu diễn hình học,Câu gốc,44,,"Cho hai số phức $z_1=-2+i$ và $z_2=1+i$. Trên mặt phẳng tọa độ $Oxy$, điểm biểu diễn số phức $2z_1+z_2$ có tọa độ là

A. $(3;-3)$.
B. $(2;-3)$.
C. $(-3;3)$.
D. $(-3;2)$.",C. $(-3;3)$.,"Ta có $2z_1+z_2=-4+2i+1+i=-3+3i$.

Vậy điểm biểu diễn số phức $2z_1+z_2$ có tọa độ là $(-3;3)$.",Đạt,
45,Dạng 4 - Tìm số phức thỏa mãn điều kiện cho trước,Câu gốc,45,,"Cho số phức $z$ thoả mãn $3(\bar{z}-i)-(2+3i)z=7-16i$. Mô-đun của $z$ bằng

A. $\sqrt{5}$.
B. $5$.
C. $\sqrt{3}$.
D. $3$.",A. $\sqrt{5}$.,"Đặt $z=a+bi\,(a;b\in\mathbb{R})$. Theo đề ta có
$3(a-bi-i)-(2+3i)(a+bi)=7-16i$
$\Leftrightarrow 3a-3bi-3i-2a-2bi-3ai+3b=7-16i$
$\Leftrightarrow (a+3b)+(-3a-5b-3)i=7-16i$
$\Leftrightarrow \begin{cases}a+3b=7\\-3a-5b-3=-16\end{cases}\Leftrightarrow \begin{cases}a+3b=7\\-3a-5b=-13\end{cases}\Leftrightarrow \begin{cases}a=1\\b=2.\end{cases}$
Vậy $|z|=\sqrt{1^2+2^2}=\sqrt5$.",Đạt,
46,Dạng 5 - Tập hợp điểm biểu diễn (quỹ tích),Câu gốc,46,,"Xét số phức $z$ thỏa mãn $|z|=\sqrt{2}$. Trên mặt phẳng tọa độ $Oxy$, tập hợp điểm biểu diễn các số phức $w=\dfrac{3+iz}{1+z}$ là một đường tròn có bán kính bằng

A. $2\sqrt{3}$.
B. $20$.
C. $12$.
D. $2\sqrt{5}$.",D. $2\sqrt{5}$.,"Ta có $w=\dfrac{3+iz}{1+z} \Leftrightarrow w+wz=3+iz \Leftrightarrow w-3=(i-w)z$. Lấy mô-đun hai vế ta được
$|w-3|=|(i-w)z| \Leftrightarrow |w-3|=|(i-w)||z|$. $(*)$
Gọi $w=x+yi,\, x,y\in\mathbb{R}$. Khi đó ta có
$(*) \Leftrightarrow |w-3|=|(i-w)||z| \Leftrightarrow \sqrt{(x-3)^2+y^2}=\sqrt{x^2+(1-y)^2}\cdot\sqrt{2}$
$\Leftrightarrow (x-3)^2+y^2=2x^2+2(1-y)^2 \Leftrightarrow x^2+y^2+6x-4y-7=0$.
Vậy tập hợp điểm biểu diễn số phức $w$ thỏa mãn $|z|=\sqrt{2}$ là đường tròn có tâm $I(-3;2)$ và bán kính bằng $2\sqrt{5}$.",Đạt,
47,Dạng 2 - Biểu diễn hình học,Câu gốc,47,,"Trên mặt phẳng tọa độ, biết $M(-1;3)$ là điểm biểu diễn số phức $z$. Phần thực của $z$ bằng

A. $3$.
B. $-1$.
C. $-3$.
D. $1$.",B. $-1$.,"Ta có $M(-1;3)$ là điểm biểu diễn số phức $z=-1+3i$.
Do đó, phần thực của $z$ là $-1$.",Đạt,
48,Dạng 3 - Phép toán số phức,Câu gốc,48,,"Cho hai số phức $z_1=3+2i$ và $z_2=2-i$. Số phức $z_1+z_2$ bằng

A. $5-i$.
B. $5+i$.
C. $-5-i$.
D. $-5+i$.",B. $5+i$.,Ta có: $z_1+z_2=(3+2i)+(2-i)=5+i$.,Đạt,
49,"Dạng 1 - Xác định phần thực, phần ảo, liên hợp, môđun",Câu gốc,49,,"Số phức liên hợp của số phức $z=-2+5i$ là

A. $\bar{z}=2-5i$.
B. $\bar{z}=2+5i$.
C. $\bar{z}=-2+5i$.
D. $\bar{z}=-2-5i$.",D. $\bar{z}=-2-5i$.,Ta có số phức liên hợp của số phức $z=-2+5i$ là $\bar{z}=-2-5i$.,Đạt,
50,"Dạng 1 - Xác định phần thực, phần ảo, liên hợp, môđun",Câu gốc,50,,"Cho hai số phức $z=2+2i$ và $w=2+i$. Mô-đun của số phức $z\cdot\overline{w}$ bằng

A. $40$.
B. $8$.
C. $2\sqrt{2}$.
D. $2\sqrt{10}$.",D. $2\sqrt{10}$.,"Ta có $z\cdot\overline{w}=(2+2i)(2-i)=6+2i$.
Vậy $|z\cdot\overline{w}|=|6+2i|=\sqrt{6^2+2^2}=2\sqrt{10}$.",Đạt,
51,Dạng 2 - Biểu diễn hình học,Câu gốc,51,,"Trong mặt phẳng tọa độ $Oxy$, điểm $M(-3;2)$ là điểm biểu diễn của số phức nào sau đây?

A. $z_3=3-2i$.
B. $z_4=3+2i$.
C. $z_1=-3-2i$.
D. $z_2=-3+2i$.",D. $z_2=-3+2i$.,"Trong mặt phẳng tọa độ $Oxy$, điểm $M(-3;2)$ biểu diễn cho số phức $z_2=-3+2i$.",Đạt,
52,Dạng 3 - Phép toán số phức,Câu gốc,52,,"Cho hai số phức $z=5+2i$ và $w=1-4i$. Số phức $z+w$ bằng

A. $6+2i$.
B. $4+6i$.
C. $6-2i$.
D. $-4-6i$.",C. $6-2i$.,Ta có $z+w=5+2i+1-4i=(5+1)+(2-4)i=6-2i$.,Đạt,
53,"Dạng 1 - Xác định phần thực, phần ảo, liên hợp, môđun",Câu gốc,53,,"Phần thực của số phức $z=6-2i$ bằng

A. $-2$.
B. $2$.
C. $6$.
D. $-6$.",C. $6$.,Phần thực của số phức $z=6-2i$ bằng $6$.,Đạt,
54,Dạng 4 - Tìm số phức thỏa mãn điều kiện cho trước,Câu gốc,54,,"Cho số phức $z$ thỏa mãn $iz=6+5i$. Số phức liên hợp của $z$ là

A. $\bar{z}=5-6i$.
B. $\bar{z}=-5+6i$.
C. $\bar{z}=5+6i$.
D. $\bar{z}=-5-6i$.",C. $\bar{z}=5+6i$.,Ta có $iz=6+5i \Leftrightarrow z=\dfrac{6+5i}{i}=5-6i$. Vậy $\bar{z}=5+6i$.,Đạt,
55,Dạng 7 - Cực trị & vận dụng cao,Câu gốc,55,,"Xét các số phức $z, w$ thỏa mãn $|z|=1$ và $|w|=2$. Khi $|z+i\overline{w}+6+8i|$ đạt giá trị nhỏ nhất, $|z-w|$ bằng

A. $\dfrac{\sqrt{29}}{5}$.
B. $\dfrac{\sqrt{221}}{5}$.
C. $3$.
D. $\sqrt{5}$.",A. $\dfrac{\sqrt{29}}{5}$.,"Ta có $|z+i\overline{w}+6+8i| \ge |6+8i|-|z|-|i\overline{w}|=10-1-2=7$.
Dấu bằng xảy ra khi và chỉ khi $\begin{cases}z=-\dfrac{3}{5}-\dfrac{4}{5}i\\iw=-\dfrac{6}{5}-\dfrac{8}{5}i\end{cases} \Leftrightarrow \begin{cases}z=-\dfrac{3}{5}-\dfrac{4}{5}i\\w=-\dfrac{8}{5}-\dfrac{6}{5}i.\end{cases}$
Khi đó $|z-w|=\dfrac{\sqrt{29}}{5}$.",Đạt,
56,Dạng 6 - Phương trình bậc hai có tham số,Câu gốc,56,,"Trên tập hợp các số phức, xét phương trình $z^2-2(m+1)z+m^2=0$ ($m$ là tham số thực). Có bao nhiêu giá trị của $m$ để phương trình đó có nghiệm $z_0$ thỏa mãn $|z_0|=5$?

A. $2$.
B. $3$.
C. $1$.
D. $4$.",B. $3$.,"Ta có $\Delta'=2m+1$.
- TH1: $\Delta'=0 \Leftrightarrow m=-\dfrac{1}{2}$ thì $z_0=\dfrac{1}{2}$, suy ra $m=-\dfrac{1}{2}$ (loại).
- TH2: $\Delta'<0 \Leftrightarrow m<-\dfrac{1}{2}$ thì $z_0=m+1+\sqrt{|2m+1|}\,i$ hoặc $z_0=m+1-\sqrt{|2m+1|}\,i$.
Theo đề bài $|z_0|=5 \Rightarrow (m+1)^2+(-2m-1)=25 \Leftrightarrow \begin{bmatrix}m=5 & (\text{loại})\\m=-5 & (\text{nhận})\end{bmatrix}$
- TH3: $\Delta'>0 \Leftrightarrow m>-\dfrac{1}{2}$ thì phương trình có hai nghiệm thực phân biệt
  Khi $z_0=5$: thế vào phương trình ta được $m^2-10m+15=0 \Leftrightarrow m=5\pm\sqrt{10}$ (nhận).
  Khi $z_0=-5$: thế vào phương trình ta được $m^2+10m+35=0$ vô nghiệm.
Vậy có 3 giá trị của $m$.",Đạt,
57,Dạng 3 - Phép toán số phức,Câu gốc,57,,"Cho hai số phức $z=4+3i$ và $w=1-i$. Số phức $z-w$ bằng

A. $5+2i$.
B. $7-i$.
C. $3+4i$.
D. $-3-4i$.",C. $3+4i$.,Ta có $z-w=4+3i-(1-i)=3+4i$.,Đạt,
58,"Dạng 1 - Xác định phần thực, phần ảo, liên hợp, môđun",Câu gốc,58,,"Phần ảo của số phức $z=3-4i$ bằng

A. $4$.
B. $-3$.
C. $-4$.
D. $3$.",C. $-4$.,Phần ảo của số phức $z=3-4i$ là $-4$.,Đạt,
59,"Dạng 1 - Xác định phần thực, phần ảo, liên hợp, môđun",Câu gốc,59,,"Cho số phức $z=4-2i$, mô-đun của số phức $(1+i)z$ bằng

A. $2\sqrt{10}$.
B. $24$.
C. $2\sqrt{26}$.
D. $40$.",A. $2\sqrt{10}$.,"Ta có $(1+i)z=(1+i)(4-2i)=6+2i$.
Do đó mô-đun của $(1+i)z$ là $|6+2i|=\sqrt{6^2+2^2}=\sqrt{40}=2\sqrt{10}$.
Vậy $|(1+i)z|=2\sqrt{10}$.",Đạt,
60,Dạng 7 - Cực trị & vận dụng cao,Câu gốc,60,,"Xét các số phức $z$ và $w$ thay đổi thỏa mãn $|z|=|w|=4$ và $|z-w|=4\sqrt{2}$. Giá trị nhỏ nhất của $P=|z-1-i|+|w+3-4i|$ bằng

A. $\sqrt{41}$.
B. $5-2\sqrt{2}$.
C. $5-\sqrt{2}$.
D. $\sqrt{13}$.",D. $\sqrt{13}$.,"Đặt $\dfrac{z}{w}=x+yi\,(x,y\in\mathbb{R})$.
Ta có $\begin{cases}\dfrac{|z|}{|w|}=1\\\dfrac{|z-w|}{|w|}=\sqrt{2}\end{cases} \Leftrightarrow \begin{cases}\left|\dfrac{z}{w}\right|=1\\\left|\dfrac{z-w}{w}\right|=\sqrt{2}\end{cases} \Leftrightarrow \begin{cases}\sqrt{x^2+y^2}=1\\\left|\dfrac{z}{w}-1\right|=\sqrt{2}\end{cases} \Leftrightarrow \begin{cases}\sqrt{x^2+y^2}=1\\\sqrt{(x-1)^2+y^2}=\sqrt{2}\end{cases} \Leftrightarrow \begin{cases}x^2+y^2=1\\(x-1)^2+y^2=2\end{cases} \Leftrightarrow \begin{cases}x=0\\y=\pm 1.\end{cases}$
Suy ra $z=iw$ hoặc $z=-iw$.

Trường hợp 1:
$z=iw \Rightarrow P=|iw-1-i|+|w+3-4i|$
$=|w-1+i|+|-w-3+4i|$
$\ge |w-1+i-w-3+4i|=\sqrt{41}.$ (1)

Trường hợp 2:
$z=-iw \Rightarrow P=|-iw-1-i|+|w+3-4i|$
$=|-w-1+i|+|w+3-4i| \ge |-w-1+i+w+3-4i|=\sqrt{13}.$ (2)

Từ (1) và (2) $\Rightarrow \min P=\sqrt{13}$ đạt được $\Leftrightarrow \begin{cases}z=\dfrac{2-9\sqrt{23}}{13}-\dfrac{3+6\sqrt{23}}{13}i\\w=-\dfrac{3+6\sqrt{23}}{13}-\dfrac{2-9\sqrt{23}}{13}i.\end{cases}$",Đạt,
61,Dạng 6 - Phương trình bậc hai có tham số,Câu gốc,61,,"Trên tập hợp các số phức, xét phương trình $z^2+4az+b^2+2=0$ ($a, b$ là các tham số thực). Có bao nhiêu cặp số thực $(a;b)$ sao cho phương trình đó có hai nghiệm $z_1, z_2$ thỏa mãn $z_1+2iz_2=3+3i$?

A. $4$.
B. $1$.
C. $2$.
D. $3$.",D. $3$.,"Trường hợp 1: $z_1$ và $z_2$ là hai nghiệm thực.
Ta có $z_1+2iz_2=3+3i \Leftrightarrow \begin{cases}z_1=3\\z_2=\dfrac{3}{2}.\end{cases}$
Khi đó $-4a=z_1+z_2=3+\dfrac{3}{2} \Leftrightarrow a=-\dfrac{9}{8}$ và $b^2+2=z_1\cdot z_2=3\cdot\dfrac{3}{2} \Leftrightarrow b=\pm\dfrac{\sqrt{10}}{2}$.
Như vậy, trường hợp 1 có $(a;b)\in\left\{\left(-\dfrac{9}{8};-\dfrac{\sqrt{10}}{2}\right);\left(-\dfrac{9}{8};\dfrac{\sqrt{10}}{2}\right)\right\}$.

Trường hợp 2: $z_1$ và $z_2$ là hai nghiệm phức.
Đặt $z_1=x+yi\,(x,y\in\mathbb{R})$ thì $z_2=x-yi$. Ta có
$z_1+2iz_2=3+3i \Leftrightarrow x+yi+2i(x-yi)=3+3i \Leftrightarrow \begin{cases}x+2y=3\\2x+y=3\end{cases} \Leftrightarrow \begin{cases}x=1\\y=1\end{cases} \Rightarrow \begin{cases}z_1=1+i\\z_2=1-i.\end{cases}$
Khi đó $-4a=z_1+z_2=2 \Leftrightarrow a=-\dfrac{1}{2}$ và $b^2+2=z_1\cdot z_2=2 \Leftrightarrow b=0$.
Như vậy, trường hợp 2 có $(a;b)=\left(-\dfrac{1}{2};0\right)$.

Vậy có 3 cặp số thực $(a;b)$ thỏa mãn yêu cầu bài toán.",Đạt,
62,"Dạng 1 - Xác định phần thực, phần ảo, liên hợp, môđun",Câu gốc,62,,"Môđun của số phức $z=3+4i$ bằng

A. $25$.
B. $\sqrt{7}$.
C. $5$.
D. $7$.",C. $5$.,Ta có $|z|=\sqrt{3^2+4^2}=\sqrt{25}=5$.,Đạt,
63,Dạng 2 - Biểu diễn hình học,Câu gốc,63,,"Trên mặt phẳng tọa độ, điểm biểu diễn số phức $z=2-7i$ có tọa độ là

A. $(2;7)$.
B. $(-2;7)$.
C. $(2;-7)$.
D. $(-7;2)$.",C. $(2;-7)$.,"Trên mặt phẳng tọa độ, điểm biểu diễn số phức $z=2-7i$ có tọa độ là $(2;-7)$.",Đạt,
64,Dạng 3 - Phép toán số phức,Câu gốc,64,,"Cho hai số phức $z_1=2+3i, z_2=1-i$. Số phức $z_1+z_2$ bằng

A. $5+i$.
B. $3+2i$.
C. $1+4i$.
D. $3+4i$.",B. $3+2i$.,Ta có $z_1+z_2=2+3i+1-i=3+2i$.,Đạt,
65,Dạng 7 - Cực trị & vận dụng cao,Câu gốc,65,,"Cho các số phức $z_1, z_2, z_3$ thỏa mãn $|z_1|=|z_2|=2|z_3|=2$ và $8(z_1+z_2)z_3=3z_1z_2$. Gọi $A, B, C$ lần lượt là các điểm biểu diễn của $z_1, z_2, z_3$ trên mặt phẳng tọa độ. Diện tích tam giác $ABC$ bằng

A. $\dfrac{\sqrt{55}}{32}$.
B. $\dfrac{\sqrt{55}}{16}$.
C. $\dfrac{\sqrt{55}}{24}$.
D. $\dfrac{\sqrt{55}}{8}$.",B. $\dfrac{\sqrt{55}}{16}$.,"Ta có $8(z_1+z_2)z_3=3z_1z_2 \Leftrightarrow \dfrac{8}{z_2}+\dfrac{8}{z_1}=\dfrac{3}{z_3} \Leftrightarrow \dfrac{8\overline{z_2}}{z_2\overline{z_2}}+\dfrac{8\overline{z_1}}{z_1\overline{z_1}}=\dfrac{3\overline{z_3}}{z_3\overline{z_3}} \Leftrightarrow \dfrac{8\overline{z_2}}{|z_2|^2}+\dfrac{8\overline{z_1}}{|z_1|^2}=\dfrac{3\overline{z_3}}{|z_3|^2}$
$\Leftrightarrow \dfrac{8\overline{z_2}}{4}+\dfrac{8\overline{z_1}}{4}=\dfrac{3\overline{z_3}}{1} \Leftrightarrow \overline{z_2}+\overline{z_1}=\dfrac{3\overline{z_3}}{2}.$ (1)
Gọi $A', B', C'$ lần lượt là các điểm biểu diễn của $\overline{z_1}, -z_2, -z_3$ suy ra $A', B', C'$ lần lượt đối xứng với $A, B, C$ qua trục $Ox \Rightarrow S_{\triangle ABC}=S_{\triangle A'B'C'}$.
Ta có $(1) \Leftrightarrow \overrightarrow{OA'}+\overrightarrow{OB'}=\dfrac{3}{2}\overrightarrow{OC'}=\overrightarrow{OD}$, trong đó $OA'=OB'=2OC'=2, \overrightarrow{OD}=\dfrac{3}{2}\overrightarrow{OC'}$, suy ra tứ giác $OA'DB'$ là hình thoi có $OA'=OB'=2, OD=\dfrac{3}{2}$ và $C'\in OD: OC'=1$.
Ta có $DC'=\dfrac{1}{2} \Rightarrow IC'=ID-DC'=\dfrac{3}{4}-\dfrac{1}{2}=\dfrac{1}{4} \Rightarrow IC'=\dfrac{1}{3}ID \Rightarrow S_{\triangle A'B'C'}=\dfrac{1}{3}S_{\triangle OA'B'}$.
$S_{\triangle OA'B'}=2S_{\triangle OA'I}=OI\cdot\sqrt{OA'^2-OI^2}=\dfrac{3}{4}\cdot\sqrt{4-\dfrac{9}{16}}=\dfrac{3\sqrt{55}}{16}$.
Vậy $S_{\triangle ABC}=S_{\triangle A'B'C'}=\dfrac{\sqrt{55}}{16}$.",Đạt,
66,Dạng 4 - Tìm số phức thỏa mãn điều kiện cho trước,Câu gốc,66,,"Có bao nhiêu số phức $z$ thỏa mãn $|z^2|=2|z-\bar{z}|$ và $|(z-4)(\bar{z}-4i)|=|z+4i|^2$?

A. $3$.
B. $1$.
C. $2$.
D. $4$.",D. $4$.,"Ta có $\overline{z}-4i=\overline{z+4i} \Rightarrow |\overline{z}-4i|=|\overline{z+4i}|=|z+4i|$. Do đó $|(z-4)(\overline{z}-4i)|=|z+4i|^2 \Leftrightarrow |z-4|\cdot|\overline{z}-4i|=|z+4i|^2 \Leftrightarrow |z-4|\cdot|z+4i|=|z+4i|^2$
$\Leftrightarrow \begin{bmatrix}|z+4i|=0\\|z-4|=|z+4i|.\end{bmatrix}$
Xét (1): $|z+4i|=0 \Leftrightarrow z+4i=0 \Leftrightarrow z=-4i \Rightarrow \overline{z}=4i$.
Khi đó $\begin{cases}z^2=-16 \Rightarrow |z^2|=16\\|z-\overline{z}|=|-8i|=8\end{cases}$ suy ra $|z^2|=2|z-\overline{z}|$ (thỏa mãn yêu cầu bài toán).
Xét (2): $|z-4|=|z+4i|$.
Giả sử $z=a+bi$, với $a, b\in\mathbb{R}$.
Ta có (2) $\Leftrightarrow (a-4)^2+b^2=a^2+(b+4)^2 \Leftrightarrow b=-a$.
Hay $z=a-ai \Rightarrow z^2=-2a^2i \Rightarrow |z^2|=2a^2$ và $z-\overline{z}=-2ai \Rightarrow |z-\overline{z}|=2|a|$.
Khi đó $|z^2|=2|z-\overline{z}| \Leftrightarrow 2a^2=4|a| \Leftrightarrow \begin{bmatrix}a=0\\a=\pm 2\end{bmatrix} \Rightarrow \begin{bmatrix}z=0\\z=2-2i\\z=-2+2i\\z=-4i.\end{bmatrix}$
Vậy có 4 số phức $z=0, z=2-2i, z=-2+2i, z=-4i$ thỏa mãn yêu cầu bài toán.",Đạt,
67,"Dạng 1 - Xác định phần thực, phần ảo, liên hợp, môđun",Nhân bản,1,Số nguyên,"Cho số phức $z = -3-4i$. Tìm phần thực và phần ảo của số phức $\overline{z}$.

A. Phần thực bằng $3$ và phần ảo bằng $-4i$.
B. Phần thực bằng $3$ và phần ảo bằng $-4$.
C. Phần thực bằng $-3$ và phần ảo bằng $4i$.
D. Phần thực bằng $-3$ và phần ảo bằng $4$.",D. Phần thực bằng $-3$ và phần ảo bằng $4$.,Từ $z = -3-4i$ suy ra $\overline{z} = -3+4i$. Nên phần thực của $\overline{z}$ bằng $-3$ và phần ảo của $\overline{z}$ bằng $4$.,Đạt,
68,"Dạng 1 - Xác định phần thực, phần ảo, liên hợp, môđun",Nhân bản,1,Số nguyên,"Cho số phức $z = 4+5i$. Tìm phần thực và phần ảo của số phức $\overline{z}$.

A. Phần thực bằng $-4$ và phần ảo bằng $5i$.
B. Phần thực bằng $-4$ và phần ảo bằng $5$.
C. Phần thực bằng $4$ và phần ảo bằng $-5i$.
D. Phần thực bằng $4$ và phần ảo bằng $-5$.",D. Phần thực bằng $4$ và phần ảo bằng $-5$.,Từ $z = 4+5i$ suy ra $\overline{z} = 4-5i$. Nên phần thực của $\overline{z}$ bằng $4$ và phần ảo của $\overline{z}$ bằng $-5$.,Đạt,
69,"Dạng 1 - Xác định phần thực, phần ảo, liên hợp, môđun",Nhân bản,1,Số hữu tỉ,"Cho số phức $z = \dfrac{3}{2}-\dfrac{7}{2}i$. Tìm phần thực và phần ảo của số phức $\overline{z}$.

A. Phần thực bằng $- \dfrac{3}{2}$ và phần ảo bằng $- \dfrac{7}{2}i$.
B. Phần thực bằng $- \dfrac{3}{2}$ và phần ảo bằng $- \dfrac{7}{2}$.
C. Phần thực bằng $\dfrac{3}{2}$ và phần ảo bằng $\dfrac{7}{2}i$.
D. Phần thực bằng $\dfrac{3}{2}$ và phần ảo bằng $\dfrac{7}{2}$.",D. Phần thực bằng $\dfrac{3}{2}$ và phần ảo bằng $\dfrac{7}{2}$.,Từ $z = \dfrac{3}{2}-\dfrac{7}{2}i$ suy ra $\overline{z} = \dfrac{3}{2}+\dfrac{7}{2}i$. Nên phần thực của $\overline{z}$ bằng $\dfrac{3}{2}$ và phần ảo của $\overline{z}$ bằng $\dfrac{7}{2}$.,Đạt,
70,"Dạng 1 - Xác định phần thực, phần ảo, liên hợp, môđun",Nhân bản,1,Số hữu tỉ,"Cho số phức $z = \dfrac{11}{2}-\dfrac{4}{3}i$. Tìm phần thực và phần ảo của số phức $\overline{z}$.

A. Phần thực bằng $- \dfrac{11}{2}$ và phần ảo bằng $- \dfrac{4}{3}i$.
B. Phần thực bằng $- \dfrac{11}{2}$ và phần ảo bằng $- \dfrac{4}{3}$.
C. Phần thực bằng $\dfrac{11}{2}$ và phần ảo bằng $\dfrac{4}{3}i$.
D. Phần thực bằng $\dfrac{11}{2}$ và phần ảo bằng $\dfrac{4}{3}$.",D. Phần thực bằng $\dfrac{11}{2}$ và phần ảo bằng $\dfrac{4}{3}$.,Từ $z = \dfrac{11}{2}-\dfrac{4}{3}i$ suy ra $\overline{z} = \dfrac{11}{2}+\dfrac{4}{3}i$. Nên phần thực của $\overline{z}$ bằng $\dfrac{11}{2}$ và phần ảo của $\overline{z}$ bằng $\dfrac{4}{3}$.,Đạt,
71,"Dạng 1 - Xác định phần thực, phần ảo, liên hợp, môđun",Nhân bản,1,Số vô tỉ,"Cho số phức $z = 3-\sqrt{7}i$. Tìm phần thực và phần ảo của số phức $\overline{z}$.

A. Phần thực bằng $-3$ và phần ảo bằng $- \sqrt{7}i$.
B. Phần thực bằng $-3$ và phần ảo bằng $- \sqrt{7}$.
C. Phần thực bằng $3$ và phần ảo bằng $\sqrt{7}i$.
D. Phần thực bằng $3$ và phần ảo bằng $\sqrt{7}$.",D. Phần thực bằng $3$ và phần ảo bằng $\sqrt{7}$.,Từ $z = 3-\sqrt{7}i$ suy ra $\overline{z} = 3+\sqrt{7}i$. Nên phần thực của $\overline{z}$ bằng $3$ và phần ảo của $\overline{z}$ bằng $\sqrt{7}$.,Đạt,
